PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
53,0,2,Edward Wilson,male,35.1,0,0,PC00052,24.41,Q
54,1,2,Thomas White,male,25.8,0,0,PC00053,17.48,S
55,1,3,William Johnson,female,50.4,1,1,284756,23.45,S
56,1,1,Sarah King,female,18.1,2,0,PC00055,269.24,S
57,0,3,Helen Taylor,male,9.3,0,2,372397,10.72,Q
58,0,3,Henry Davies,male,12.7,0,0,PC00057,21.37,S
59,0,2,George Johnson,male,,1,1,738756,62.92,S
60,0,3,John Hall,male,53.4,0,1,468042,10.02,S
61,0,2,Mary Green,male,40.7,4,0,411656,44.34,C
62,0,2,Henry Johnson,female,,0,0,538512,31.73,S
63,1,2,Margaret Thomas,male,46.7,0,0,789417,44.56,S
64,1,3,Alice Clark,female,38.9,1,0,366440,35.02,S
65,0,2,William Roberts,male,15.0,0,0,196233,47.9,S
66,1,3,Edward Davies,male,44.3,0,0,301731,16.77,C
67,1,2,James King,female,31.7,0,1,PC00066,67.96,S
68,1,3,Anna Taylor,female,25.0,0,0,813281,28.58,S
69,0,3,John Green,male,33.0,0,0,801243,34.36,S
70,0,1,Rosa Wilson,male,59.0,0,0,PC00069,119.45,S
71,0,3,Mary Walker,male,,0,0,PC00070,22.59,S
72,1,2,William Clark,female,36.6,0,0,424402,15.21,S
73,1,1,Mary Thomas,male,75.1,0,0,734296,99.5,S
74,0,2,Rosa Thomas,male,,0,0,673068,12.61,C
75,1,1,Lillian Walker,female,23.6,1,0,597726,108.11,S
76,0,3,Henry Johnson,male,25.4,0,0,106860,35.96,S
77,0,1,Henry Smith,male,35.0,0,0,757522,118.64,S
78,1,2,Sarah King,female,21.9,1,0,304993,53.82,S
79,0,2,Lillian Wilson,male,48.8,0,0,890927,12.98,S
80,0,3,William Davies,male,10.8,0,0,PC00079,8.05,S
81,0,3,James Taylor,male,44.3,0,0,371803,22.98,S
82,0,3,Helen Walker,male,51.5,0,0,422100,32.84,S
83,0,2,George King,male,25.0,0,0,592550,34.28,Q
84,0,3,Edward Clark,male,40.6,0,0,135437,34.5,C
85,1,1,Margaret Davies,female,,0,0,829740,187.28,S
86,0,2,Thomas Davies,male,12.7,0,0,676094,12.23,Q
87,0,3,Fredrick Smith,female,28.0,0,0,660018,8.95,S
88,1,1,Alice Johnson,male,11.2,0,0,187770,76.05,S
89,0,3,James Smith,male,,0,0,186539,9.29,Q
90,0,3,Rosa Davies,female,25.4,0,2,757884,30.89,S
91,0,2,George King,male,39.2,0,1,PC00090,33.1,S
92,1,3,Lillian Brown,female,,0,0,PC00091,27.95,S
93,0,2,Helen Thomas,male,32.2,0,0,PC00092,73.98,C
94,0,3,William Taylor,male,20.3,1,0,PC00093,30.71,S
95,1,1,Fredrick Smith,male,33.1,1,1,203601,145.38,S
96,0,1,Henry Green,male,30.8,0,0,833738,75.84,S
97,0,3,George Brown,male,19.8,1,1,685371,16.16,S
98,1,2,Alice Brown,male,31.6,1,0,510463,12.93,S
99,1,1,William Green,female,47.1,0,0,PC00098,192.71,S
100,1,2,Margaret Taylor,male,27.8,1,0,729228,26.75,S
101,1,2,Margaret Taylor,male,24.8,0,0,193536,18.69,S
102,1,2,Margaret King,female,0.5,1,0,644238,53.3,S
103,0,3,John Taylor,male,33.1,0,2,146095,8.01,C
104,0,3,Rosa Green,male,42.0,1,1,586428,20.09,S
105,1,1,Alice Wilson,male,75.2,1,0,786482,182.95,C
106,1,3,Fredrick Roberts,male,18.5,0,0,774695,14.05,S
107,1,3,Rosa Wilson,female,18.2,1,0,667423,19.77,S
108,0,2,Margaret Davies,male,31.2,0,0,506447,24.9,S
109,1,3,Alice Hall,male,17.7,0,0,376419,7.96,S
110,1,1,George Hall,female,25.3,0,0,211977,166.8,S
111,1,3,Alice Brown,female,35.0,1,0,PC00110,32.34,S
112,1,3,Margaret Wright,male,26.5,0,0,304673,5.1,C
113,1,3,Helen Brown,male,,0,0,635327,39.51,S
114,0,3,Anna Wilson,male,42.7,0,3,690644,36.4,S
115,1,3,George Johnson,female,38.0,0,0,PC00114,39.56,C
116,1,1,George Walker,female,35.2,0,0,366982,260.94,S
117,0,3,Mary Wright,male,35.6,0,1,619388,5.09,S
118,1,1,Edward Wright,male,61.0,0,0,318287,260.62,C
119,1,1,George White,male,,1,0,638149,288.13,S
120,0,2,Lillian Clark,male,24.7,0,0,485422,29.05,S
121,1,2,Rosa Brown,female,32.1,0,0,425862,69.9,C
122,0,3,Henry Smith,male,18.8,0,0,272492,37.09,S
123,0,3,Lillian Evans,male,13.3,0,0,402584,36.86,S
124,1,1,John Hall,male,48.0,2,0,231058,122.31,C
125,0,1,Edward Evans,male,75.9,3,2,170814,87.95,S
126,1,2,Mary Roberts,female,,1,0,823401,18.4,Q
127,0,3,Thomas Hall,male,16.2,0,0,315026,33.67,C
128,0,3,Alice Green,male,0.5,1,0,PC00127,16.33,C
129,0,2,Mary Wright,male,43.9,0,0,852877,17.46,S
130,1,3,Anna Roberts,female,0.5,0,0,123079,9.75,S
131,0,3,Edward Taylor,female,27.4,1,0,296107,19.31,C
132,0,2,Margaret Wright,male,54.3,0,0,625532,60.23,C
133,1,1,William Clark,female,43.8,0,0,186688,289.92,S
134,1,2,Mary Wright,male,27.0,2,0,614151,71.56,S
135,1,3,Thomas Taylor,female,21.5,0,0,257213,17.41,S
136,0,3,Fredrick King,male,22.1,1,0,741888,36.23,S
137,1,1,John Brown,female,36.0,0,0,556687,98.9,S
138,0,2,Margaret White,male,27.8,0,0,161854,48.31,S
139,0,2,Alice Hall,male,,0,0,847883,69.45,S
140,1,2,Sarah Brown,female,17.4,0,0,514633,35.37,S
141,1,3,Sarah Green,male,23.8,0,1,310228,33.78,S
142,0,3,Lillian Walker,male,37.4,0,0,794929,33.86,S
143,0,2,William Roberts,male,49.8,0,0,708186,27.63,S
144,1,2,Fredrick Wilson,male,,0,0,647424,21.73,S
145,0,3,Thomas Davies,male,21.6,0,0,552000,14.66,Q
146,0,3,Rosa Taylor,male,,3,1,110801,9.29,S
147,1,3,John Evans,male,35.6,1,0,605104,13.94,S
148,1,2,Lillian Walker,male,14.7,1,1,270133,68.34,S
149,1,3,Thomas Wright,male,14.6,0,1,714289,32.44,Q
150,0,2,William Wright,male,,1,2,562435,22.04,C
151,0,3,James Davies,male,47.2,1,0,700864,11.71,S
152,1,2,John Davies,male,26.8,0,0,487338,54.45,S
153,1,1,Alice White,male,43.3,0,0,798841,139.1,S
154,0,3,William King,female,44.5,0,0,606754,39.07,S
155,1,2,William Taylor,male,23.4,0,2,706106,24.6,C
156,0,3,Margaret Clark,male,,0,0,439996,6.58,C
157,0,2,George Wilson,female,34.3,1,0,587934,32.41,S
158,0,2,Thomas King,male,46.2,0,0,PC00157,63.34,C
159,0,1,Edward Smith,female,35.2,0,0,519483,139.77,S
160,0,3,Thomas Hall,female,31.7,1,0,708238,5.68,S
161,1,1,John White,male,39.7,0,0,104349,263.64,S
162,1,3,George Davies,female,,0,0,626315,25.93,S
163,0,3,Anna Walker,male,5.3,0,0,320502,28.94,S
164,0,2,Mary Davies,male,,2,0,626849,32.92,Q
165,1,1,Anna Walker,male,50.6,0,0,229076,176.4,C
166,0,3,James Clark,male,20.6,0,4,602906,25.9,C
167,1,2,George Hall,female,29.2,0,0,166629,42.73,C
168,1,1,George Evans,male,36.5,1,0,201400,213.37,C
169,1,2,Sarah White,female,32.4,1,0,PC00168,21.63,S
170,1,1,Fredrick Roberts,male,37.9,1,0,244689,297.81,C
171,1,2,Margaret Davies,male,9.4,1,0,245659,58.37,S
172,1,3,Lillian King,female,40.1,0,0,319876,11.27,S
173,0,3,Fredrick Taylor,female,,0,2,821057,20.62,S
174,0,3,Edward Hall,male,36.3,0,0,PC00173,19.34,Q
175,1,1,Fredrick King,female,22.7,0,0,715025,257.1,C
176,0,2,James Green,male,42.6,1,0,718922,66.38,S
177,0,2,Anna Roberts,male,14.9,0,0,685220,34.79,C
178,0,3,James Roberts,male,15.7,0,1,629445,6.64,C
179,0,1,Henry Hall,female,42.7,4,0,221743,197.17,S
180,1,2,John Clark,male,45.0,0,0,552866,60.48,S
181,0,3,Edward Green,female,32.6,0,0,PC00180,16.76,S
182,0,2,George White,male,13.8,0,0,289072,47.01,S
183,1,1,James Green,male,51.5,3,0,198108,265.16,C
184,0,3,Thomas Evans,male,33.3,0,0,336259,6.17,C
185,0,2,Thomas Walker,male,9.0,1,0,457528,59.42,S
186,1,3,James Johnson,male,9.1,1,0,PC00185,27.72,S
187,1,1,Anna Johnson,female,29.7,0,1,143532,295.42,S
188,1,1,Henry Johnson,female,65.8,0,0,382851,203.01,S
189,1,1,Anna Wright,female,38.1,0,0,853282,251.03,S
190,0,3,Thomas Davies,male,42.2,0,0,130589,14.42,S
191,0,1,Helen Hall,female,31.1,1,2,PC00190,244.08,S
192,0,3,George Johnson,male,7.2,0,0,374671,38.32,S
193,1,3,Henry Brown,female,26.4,1,0,328510,9.07,S
194,1,3,Edward Green,female,20.7,0,0,724341,24.6,Q
195,1,1,Thomas Clark,female,28.4,0,0,PC00194,261.24,S
196,1,1,Sarah Taylor,male,38.3,0,0,737926,291.46,S
197,1,2,William White,male,49.0,0,2,601911,67.33,C
198,0,3,James Taylor,female,18.5,3,2,PC00197,8.03,S
199,0,3,Lillian King,female,36.0,2,0,673455,27.65,S
200,1,1,Sarah Wilson,male,31.1,0,2,156439,260.23,S
201,0,3,Sarah Green,female,19.9,1,0,864959,19.8,C
202,0,3,Lillian Evans,male,22.4,1,0,539360,37.48,S
203,0,3,Lillian Hall,male,17.8,0,0,766282,17.19,S
204,0,3,John Wilson,female,35.4,0,0,325889,16.07,S
205,0,3,Lillian Hall,male,20.2,1,0,113589,37.64,S
206,0,3,Helen Wilson,male,,3,0,353475,25.43,C
207,0,2,Edward Evans,male,12.6,3,2,686257,51.29,S
208,1,1,John Walker,male,48.5,0,0,181941,139.16,Q
209,0,3,John Thomas,male,36.7,0,0,507747,27.44,S
210,0,1,George Walker,male,25.7,0,0,198801,100.02,C
211,1,2,James Wright,female,29.2,0,0,422663,64.41,S
212,0,3,Mary Wilson,male,29.9,3,0,232978,18.92,S
213,1,2,Margaret Smith,female,19.9,0,0,452145,28.14,S
214,1,2,Margaret Wright,female,29.3,1,0,806486,48.88,S
215,0,3,Alice Roberts,male,16.8,0,3,840449,29.21,S
216,1,2,George Roberts,male,17.6,2,0,PC00215,68.79,S
217,0,3,Anna Evans,male,,0,0,523486,15.73,S
218,1,3,George Hall,male,34.4,1,0,PC00217,14.85,S
219,0,2,Margaret Wilson,female,,0,0,473309,22.11,S
220,1,2,Rosa Hall,male,17.3,1,0,242459,43.36,S
221,1,1,Helen Brown,male,,0,5,181226,115.5,C
222,0,3,Margaret Wright,female,28.3,0,0,215004,11.44,S
223,1,1,James King,male,,0,0,269455,191.1,Q
224,1,1,Edward Brown,male,34.8,1,5,PC00223,212.33,C
225,1,3,George White,female,32.1,1,0,603826,35.03,S
226,1,2,Anna Wilson,female,35.8,1,0,393327,13.24,C
227,1,3,Thomas Smith,male,17.6,0,1,860487,33.69,S
228,1,3,Alice Clark,female,8.8,0,2,558134,6.74,S
229,0,1,Mary Wright,male,32.5,2,0,PC00228,135.17,C
230,1,1,Rosa Wilson,male,,0,0,580915,164.47,C
231,1,2,Alice King,male,30.9,0,0,639770,73.93,S
232,1,1,Helen Smith,male,,1,0,PC00231,137.15,C
233,0,2,William Wilson,male,43.7,0,0,PC00232,30.75,S
234,1,3,Mary Davies,male,58.7,0,1,682899,15.14,S
235,0,3,George Davies,male,,1,0,PC00234,11.8,S
236,0,3,Fredrick Wilson,male,28.7,1,1,585127,26.31,S
237,0,1,William Smith,female,25.7,0,0,PC00236,256.89,S
238,1,1,Henry Taylor,male,25.9,1,0,637257,219.23,S
239,1,3,James Wilson,female,25.7,1,1,543898,23.87,S
240,1,1,Margaret Walker,male,25.2,0,0,PC00239,285.43,C
241,0,3,Rosa Clark,male,43.4,0,0,774551,34.63,Q
242,0,1,Sarah Wright,male,43.8,2,0,852303,255.27,S
243,1,3,Margaret Evans,female,13.1,0,0,618557,13.16,S
244,0,1,Anna Davies,male,39.9,0,1,349310,161.25,S
245,0,2,Henry Brown,male,33.1,1,0,567112,31.06,S
246,1,2,Rosa Taylor,female,9.7,0,3,674758,49.86,S
247,0,3,Sarah Hall,female,23.3,0,2,863720,38.89,S
248,0,3,Lillian Evans,male,5.0,1,1,782505,16.49,S
249,0,3,Fredrick Davies,male,,0,0,559546,32.12,C
250,1,2,Fredrick Taylor,male,11.7,0,0,PC00249,58.3,C
251,1,1,George Hall,female,50.4,0,0,402384,246.55,S
252,0,3,Mary Wright,male,33.9,1,0,529455,12.41,S
253,0,3,Helen Wright,male,27.8,1,0,406997,5.21,S
254,0,1,Lillian White,male,53.9,0,1,123969,298.34,S
255,0,3,Fredrick Taylor,male,38.3,0,1,PC00254,21.05,C
256,1,1,Fredrick Wright,male,40.7,1,0,166232,96.86,S
257,1,2,Alice Johnson,male,53.4,0,1,PC00256,67.14,S
258,0,3,Sarah Walker,male,22.3,0,0,239328,27.09,C
259,0,3,James Davies,male,27.6,0,1,753411,24.91,S
260,0,3,Edward Walker,male,26.5,2,3,PC00259,26.92,S
261,0,3,Henry Taylor,male,28.2,1,0,447202,19.64,S
262,1,2,William Davies,female,18.9,0,2,532302,43.55,S
263,0,3,Henry Walker,male,13.0,1,0,604364,29.95,Q
264,1,2,Anna King,male,21.3,0,0,657514,27.9,S
265,0,2,William Davies,female,22.6,0,0,304226,15.34,S
266,0,2,Fredrick Brown,male,48.0,0,0,PC00265,69.06,Q
267,1,2,Alice Johnson,male,38.3,0,0,586170,13.81,S
268,1,1,Henry Walker,female,41.0,0,1,586028,287.89,C
269,1,1,John Hall,female,58.3,0,0,263564,147.19,S
270,1,1,Edward Smith,female,41.9,0,0,456051,217.1,S
271,1,2,Rosa Davies,male,45.5,1,0,225197,44.26,S
272,1,2,Alice Brown,male,27.8,1,0,790919,30.55,C
273,1,3,Anna King,male,47.3,0,2,870143,7.31,S
274,0,3,James Brown,male,50.2,3,0,178589,24.32,S
275,0,2,Henry Johnson,male,24.9,0,0,858891,19.8,S
276,1,3,Margaret White,male,38.5,2,0,530469,7.79,S
277,1,3,John King,female,30.2,1,0,255564,39.15,S
278,0,2,Thomas White,male,34.2,0,1,602385,30.78,S
279,0,3,Rosa Johnson,male,37.1,1,0,151164,14.2,C
280,0,2,Rosa Clark,female,,1,0,655818,23.04,S
281,0,3,Lillian Thomas,male,15.7,1,2,PC00280,16.79,S
282,0,3,Thomas Hall,male,12.4,1,1,520602,35.68,S
283,1,1,Helen White,male,20.2,0,2,636709,227.03,S
284,0,3,William Smith,female,22.6,0,0,831044,15.99,C
285,1,3,Fredrick Evans,female,3.7,0,0,PC00284,29.23,S
286,0,3,Thomas White,male,9.4,2,2,PC00285,35.1,C
287,1,3,Fredrick Thomas,male,32.1,1,0,PC00286,35.93,S
288,1,3,Edward Walker,male,23.0,0,0,284954,15.08,C
289,1,2,Margaret King,male,,0,0,387464,46.42,C
290,0,3,Edward King,male,0.5,0,0,130525,19.38,S
291,1,1,William Green,female,54.5,3,0,264946,279.93,C
292,1,2,Margaret Roberts,female,50.5,0,0,223810,45.88,Q
293,0,3,Anna Wilson,female,24.5,3,0,PC00292,34.37,S
294,1,1,Henry Brown,male,49.8,0,0,827972,229.76,S
295,0,1,George Brown,male,31.7,0,1,476466,90.2,S
296,0,3,Margaret Walker,female,23.2,1,0,659966,15.99,S
297,0,3,John White,male,24.2,1,0,PC00296,16.77,C
298,0,3,Anna Green,male,24.2,1,2,516312,37.55,C
299,1,1,Rosa Hall,female,19.9,0,2,204570,243.38,S
300,1,3,William Wilson,female,17.4,0,3,423990,26.57,S
301,1,1,William Davies,female,33.4,2,0,420036,283.06,S
302,0,3,Sarah Taylor,male,30.4,0,0,644461,18.88,S
303,0,3,Sarah Thomas,male,,1,0,344208,38.12,S
304,0,3,John King,male,,0,0,538404,15.22,Q
305,1,2,Helen White,female,21.2,1,0,239070,55.44,C
306,1,1,George Clark,female,18.1,0,2,352998,233.87,Q
307,0,3,Mary Brown,male,,0,0,PC00306,29.23,S
308,1,2,Rosa Green,female,,0,0,174857,41.23,C
309,1,3,George Hall,male,36.3,0,0,PC00308,34.17,Q
310,0,2,Edward White,male,,0,0,243449,69.87,S
311,1,1,Henry Wilson,male,23.9,2,0,PC00310,268.12,S
312,0,3,Anna Clark,male,23.6,4,1,790821,17.34,S
313,0,3,Edward Roberts,male,0.5,0,0,270633,25.55,C
314,0,3,Lillian Hall,male,42.7,1,0,PC00313,29.43,S
315,1,3,Sarah Taylor,female,25.5,0,0,768630,18.19,C
316,0,1,Sarah Clark,male,26.9,1,0,PC00315,106.54,S
317,1,3,Henry Smith,female,21.2,0,1,100631,34.53,S
318,1,1,Anna Smith,female,44.3,1,0,718607,73.25,S
319,0,3,Margaret Taylor,male,53.4,0,0,795693,17.26,C
320,1,2,Lillian White,male,,0,2,450056,49.15,C
321,0,1,James Walker,female,,0,0,119579,127.99,S
322,0,2,Alice Evans,male,28.9,0,0,423071,14.84,S
323,1,3,James Clark,male,18.4,0,0,165736,38.93,S
324,0,3,Anna Wilson,male,50.8,0,0,869487,31.7,S
325,1,2,Helen White,female,,0,1,PC00324,65.32,S
326,0,3,Lillian Evans,male,0.5,0,0,788392,34.76,C
327,1,2,Helen Johnson,male,42.1,1,0,507174,57.45,C
328,0,3,James Walker,male,19.1,1,0,871059,29.97,S
329,0,2,Sarah King,male,26.9,3,0,725883,63.03,S
330,1,3,Sarah Johnson,male,0.5,0,0,290248,25.31,C
331,1,2,Fredrick King,female,,0,1,103964,47.85,S
332,1,2,Mary Johnson,female,33.7,0,0,PC00331,28.31,S
333,1,1,Edward Wilson,male,39.2,0,0,834414,230.27,C
334,1,2,Margaret King,male,31.4,0,0,100875,24.97,S
335,0,1,Alice King,male,34.0,0,0,622884,286.4,C
336,1,2,Thomas Brown,female,21.3,0,2,120768,27.06,C
337,1,1,Rosa Wright,female,19.6,0,0,757863,149.72,C
338,0,3,Rosa Roberts,female,21.4,0,0,196833,30.98,C
339,0,3,Helen Clark,male,39.5,0,0,602260,33.9,Q
340,1,2,Mary White,male,29.8,0,0,470119,14.94,Q
341,0,1,Edward Walker,female,7.1,0,2,613306,289.24,S
342,1,3,Helen Taylor,male,33.9,0,0,241060,32.34,S
343,1,1,Edward Evans,female,47.1,3,0,PC00342,226.89,C
344,0,3,Edward Wright,male,,0,0,755276,5.68,Q
345,1,1,Anna Roberts,male,39.3,0,0,267903,278.85,S
346,1,2,William Thomas,female,10.5,0,1,881505,23.09,S
347,1,2,Anna Wright,male,,1,0,593894,42.37,S
348,1,1,Rosa Brown,male,28.7,0,0,821675,83.74,S
349,0,2,George Smith,male,21.8,0,0,514767,31.11,C
350,1,1,Margaret Smith,female,12.2,0,0,PC00349,114.99,C
351,0,3,Alice Roberts,male,17.0,0,0,220312,13.61,S
352,0,3,James Clark,male,16.7,1,0,758678,27.03,S
353,1,2,Helen Green,male,35.7,0,0,598738,13.3,S
354,0,3,Lillian King,male,39.7,0,0,415639,35.17,S
355,0,1,Sarah Johnson,male,29.3,0,0,242170,203.23,S
356,0,3,Sarah Clark,male,30.9,0,0,351919,21.86,S
357,0,2,Helen Clark,male,16.8,0,0,PC00356,38.0,S
358,1,1,Thomas Thomas,female,28.1,0,0,453538,177.4,C
359,0,3,John Hall,male,27.2,1,0,PC00358,21.94,S
360,0,3,George Roberts,female,10.8,1,0,702899,38.76,C
361,0,1,James Wilson,female,54.7,0,1,636064,183.72,S
362,0,2,Fredrick Walker,male,,0,0,876969,62.0,S
363,1,3,Alice Davies,male,24.2,0,0,496533,28.94,S
364,0,3,John Thomas,female,5.2,0,0,PC00363,38.2,S
365,0,3,Mary Johnson,male,25.6,0,1,848756,17.67,Q
366,0,3,James Roberts,female,13.3,0,0,550289,34.7,Q
367,0,3,John Evans,male,,0,0,374836,32.91,Q
368,0,3,Thomas Walker,female,22.3,2,0,604789,36.04,S
369,0,3,Edward Roberts,male,12.6,1,0,297812,7.95,S
370,1,1,James Roberts,male,35.6,0,0,875965,269.77,S
371,1,2,Edward Wright,female,46.2,1,0,608681,26.13,C
372,1,3,James Brown,male,15.7,0,1,842194,13.45,S
373,1,3,Alice White,female,40.3,0,0,329244,27.16,S
374,1,2,Rosa Roberts,male,34.8,4,0,514002,36.42,C
375,0,2,Anna Wright,male,49.5,2,0,592507,34.87,S
376,0,1,Fredrick Clark,male,,0,0,165611,180.55,S
377,0,3,Lillian Johnson,male,,1,3,861777,31.1,S
378,1,2,William Hall,male,24.9,0,0,520882,71.71,S
379,1,3,Alice Green,female,,1,0,317616,15.27,S
380,0,1,Rosa King,male,44.8,0,0,409721,168.8,C
381,1,3,Fredrick Evans,female,,0,0,573785,33.59,C
382,0,3,Margaret Hall,female,20.4,0,0,518284,5.9,S
383,1,2,Edward Green,female,19.8,0,1,112017,66.04,Q
384,1,1,Helen Thomas,female,31.1,0,2,817941,141.46,C
385,1,2,Margaret Hall,female,10.3,1,0,591997,70.87,Q
386,0,3,Alice Green,male,36.4,0,0,PC00385,20.47,C
387,1,1,Fredrick Johnson,female,40.0,1,0,666907,148.75,S
388,1,1,Rosa Brown,male,22.6,2,0,171872,260.03,S
389,0,2,Edward Clark,female,19.5,1,0,645335,68.65,Q
390,1,1,William Thomas,female,27.4,0,2,628451,120.72,S
391,1,3,Mary Walker,female,42.3,0,0,243471,35.8,S
392,0,3,Sarah Roberts,male,18.2,0,0,125180,14.66,S
393,1,3,Helen Hall,male,19.7,0,0,PC00392,17.44,S
394,0,3,John White,male,0.5,1,0,260173,26.99,S
395,0,3,Lillian Johnson,male,38.0,0,0,PC00394,25.4,S
396,0,1,Margaret Davies,male,43.7,0,0,291073,219.23,S
397,1,3,Margaret Hall,male,35.2,0,0,531695,33.3,C
398,1,3,William White,female,37.7,0,0,758204,15.67,S
399,0,3,Rosa Smith,female,47.7,0,0,475684,9.23,S
400,0,3,Helen Walker,male,23.4,1,0,850458,30.95,C
